[Header]
TITLE,SmOHCO3 Puck 225 01-29-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
12909859.97,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck225_1.cal|Addenda #18 measured on 1/29/2026 from 1.8861 to 302.6 K
12909860.09,,5905,,1.8002,-0.08,9.2E-6,1.8305655,0.038127061,0.0062251294,8.054E-5,0.21366839,0.002066,6.4387978,0.08054,1.8243094,4.1027,0.0080640096,93.501663,1241.8904,5.31,1,,,,1.6715731E-6,7.0973656,3.3509701,0.0034006592,0
12909908.42,,5905,,1.7998,-0.08,9.2E-6,1.8320817,0.040918695,0.0062743546,6.347E-5,0.21375556,0.002095,6.4881102,0.06347,1.7974856,4.0773179,0.0080393867,93.430753,1239.66,4.152,1,,,,1.6961231E-6,8.2054,3.3565235,0.0034247132,0
12909957.73,,5905,,1.7999,-0.08,9.2E-6,1.8320557,0.040618915,0.00629087,7.372E-5,0.2137513,0.002094,6.5046213,0.07372,2.2487851,4.0755897,0.0080679044,93.385327,1238.5567,4.8,1,,,,1.7019587E-6,8.1546357,3.3564281,0.0034337766,0
12910116.44,,5905,,1.8794,-0.08,9.2E-6,1.9074307,0.044659505,0.0059108133,5.993E-5,0.22182645,0.003323,6.1326398,0.05993,1.2087342,3.6963913,0.0077859138,93.602054,1316.5214,4.362,1,,,,1.7646724E-6,8.1511793,3.6382917,0.0030988352,0
12910162.45,,5905,,1.8802,-0.08,9.2E-6,1.9074176,0.042564408,0.0058165923,7.114E-5,0.22186051,0.003325,6.0384528,0.07114,0.20005085,3.5632399,0.0073413639,93.850416,1323.6413,5.353,1,,,,1.797911E-6,7.3927826,3.6382418,0.0030494593,0
12910207.64,,5905,,1.8781,-0.08,9.2E-6,1.9060307,0.041759155,0.0058764825,6.565E-5,0.22168631,0.003314,6.0981688,0.06565,1.3213366,3.6990697,0.0080564992,93.404401,1318.1702,4.931,1,,,,1.7569208E-6,7.1264799,3.6329532,0.0030830995,0
12910363.67,,5905,,1.9628,-0.08,9.2E-6,1.9843394,0.046366996,0.0055452333,5.613E-5,0.23489585,0.00351,5.7801292,0.05613,1.031412,3.2338218,0.0066379106,94.474831,1399.1257,4.689,1,,,,1.8838163E-6,7.3981393,3.9376027,0.0027944985,0
12910407.36,,5905,,1.9651,-0.08,9.2E-6,1.9817861,0.044201409,0.0054742207,6.369E-5,0.23459578,0.003515,5.7088165,0.06369,0.99554219,3.4399317,0.0087503616,93.143274,1403.3416,5.401,1,,,,1.7722134E-6,6.4676436,3.9274762,0.0027622662,0
12910452.33,,5905,,1.9613,-0.08,9.2E-6,1.9828477,0.044810073,0.0055566384,6.222E-5,0.23460244,0.003515,5.7912408,0.06222,1.6380509,3.3068376,0.0074638015,93.872393,1397.1168,5.176,1,,,,1.8567881E-6,6.8798633,3.9316852,0.0028023525,0
