[Header]
TITLE,Tm2O3 HP B-Type Puck 225 7-11-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
3910990.59,CALFILE: C:\QdPpms\HEATCA~1\TempCal\Standard\Puck225_4.cal|Addenda #3 measured on 7/11/2026 from 1.817 to 302.5 K
3910990.7,,5905,,1.7993,0.043,9.2E-6,1.8140479,0.033423234,0.069206138,0.0008557,0.19005214,0.002322,69.396191,0.8557,19.29484,38.45466,0.0050365071,94.952282,551.41829,2.254,1,,,,1.9000469E-6,65.84481,3.2907698,0.038150116,0
3911326.55,,5905,,1.801,0.043,9.2E-6,1.81574,0.036507696,0.070680057,0.0007911,0.19013364,0.002326,70.870191,0.7911,15.311194,39.631548,0.0049816776,95.060517,548.06911,2.03,1,,,,1.8806598E-6,76.90932,3.2969116,0.03892631,0
3911629.08,,5905,,1.8003,0.043,9.2E-6,1.8161481,0.03699919,0.070676111,0.0007795,0.19015079,0.002327,70.866262,0.7795,4.5943269,39.291907,0.0049850817,95.012653,548.2025,2.001,1,,,,1.8977621E-6,79.263096,3.2983939,0.03891539,0
3912075.56,,5905,,1.8797,0.043,9.3E-6,1.8932077,0.038286853,0.072582057,0.0007962,0.19608984,0.002531,72.778146,0.7962,4.8757522,39.625874,0.0049153473,95.150927,566.41639,2.056,1,,,,1.9297387E-6,78.583813,3.5842352,0.038338138,0
3912378.14,,5905,,1.8783,0.043,9.2E-6,1.8947293,0.039194669,0.072954257,0.0008071,0.19624158,0.002535,73.150498,0.8071,9.7137497,39.183675,0.0049172353,95.068869,565.90597,2.072,1,,,,1.9631878E-6,79.251747,3.5899991,0.038503789,0
3912680.2,,5905,,1.8802,0.043,9.2E-6,1.8946317,0.039168242,0.072579374,0.0007843,0.19623691,0.002534,72.775611,0.7843,17.474921,39.130621,0.0049562211,95.047253,566.84941,2.027,1,,,,1.9562148E-6,78.36735,3.5896291,0.038307907,0
3913123.36,,5905,,1.9628,0.043,9.2E-6,1.9751761,0.040721491,0.073971203,0.0008121,0.20614771,0.002724,74.17735,0.8121,19.395088,38.913993,0.0050746664,95.052246,587.21738,2.133,1,,,,2.0048726E-6,78.261241,3.9013204,0.037450435,0
3913423.84,,5905,,1.963,0.043,9.2E-6,1.9765854,0.041412618,0.073739232,0.0007856,0.20635104,0.002726,73.945584,0.7856,12.046428,37.742806,0.0048360528,95.164134,588.25195,2.074,1,,,,2.0582139E-6,77.827986,3.90689,0.037306372,0
3913714.83,,5905,,1.9637,0.043,9.2E-6,1.9763982,0.040724398,0.073352156,0.0007948,0.2063211,0.002726,73.558478,0.7948,18.726264,37.205441,0.0047342985,95.22492,589.22902,2.113,1,,,,2.0756887E-6,75.485612,3.9061497,0.037114058,0
